Country Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Germany,3192.133616,3809.981445,5046.755103,5639.077621,6236.358881,6634.856899,7682.953775,9482.04285,11281.02332,12138.3081,10209.07312,9913.737642,9864.34494,9313.169412,9429.569217,13461.831,16677.51079,17931.28232,17764.37645,22303.96133,23357.75773,26438.23039,25522.62957,27076.60675,31658.34938,30485.86655,26964.04947,27289.05936,26734.94254,23694.76048,23628.32721,25197.2656,30310.3576,34106.65812,34520.23965,36353.88033,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46793.68676,46772.82535
Spain,1362.165524,1708.808629,2247.553377,2749.924663,3209.837445,3279.312671,3627.590663,4356.43922,5770.214614,6208.578019,5371.166436,5159.708645,4478.500286,4489.988939,4699.655764,6513.503286,8239.613802,9703.123838,10681.9712,13804.87679,14811.90282,16112.18892,13339.90856,13415.287,15471.96272,16109.0844,14730.79718,15394.35146,15720.6405,14749.68742,15369.00116,17106.68658,21510.83625,24907.00085,26429.15094,28389.07858,32591.35031,35510.72223,32169.50285,30532.48051,31677.90031,28322.94659,29077.18206,29513.65118,25754.36103,26537.15949,28185.32137,30379.72111,29581.51855,26959.67544
France,3180.33744,3865.9254,4984.196684,5345.896035,6717.439489,6899.069578,7566.662559,9299.747373,11213.02362,12738.52005,11116.86106,10501.60913,9998.975219,9430.069648,9778.085305,13566.66077,16340.72597,17727.51083,17747.5816,21865.55525,21675.70609,23814.22737,22380.3319,23496.36768,26889.42506,26870.28524,24226.88469,24971.57449,24678.39106,22416.42542,22449.33969,24288.27002,29627.92426,33797.16244,34768.1759,36470.21284,41557.62356,45515.96175,41737.76355,40676.06479,43846.46608,40870.85236,42602.71797,43068.54872,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39055.28293
England,2649.801514,3030.432514,3426.276221,3665.862798,4299.745618,4138.167788,4681.439932,5976.938169,7804.762081,10032.06208,9599.306222,9146.077357,8691.518813,8179.194441,8652.216542,10611.11221,13118.58653,15987.16808,16239.2822,19095.467,19900.72665,20487.17079,18389.01957,19709.2381,23202.46158,24440.32814,26781.36217,28297.866,28786.95928,28290.9725,27886.79859,30079.66004,34479.39293,40390.78583,42131.6994,44536.61972,50435.37029,47429.93634,38821.17958,39693.19387,42150.69814,42485.58607,43449.09172,47447.58893,45071.07432,41146.07736,40621.33448,43306.3083,42747.08046,40318.55757
Indonesia,78.86575674,90.51205917,130.4897437,201.6676706,232.1706348,277.0507928,332.2820539,364.2857906,355.2359511,489.1601963,563.7833647,580.8105956,510.4349866,522.7171467,514.4376638,472.7226388,440.3723783,479.8107166,527.8114773,582.6789678,629.1606798,678.977737,824.079149,907.4717857,1020.146681,1129.09271,1054.347358,459.1918631,663.5232299,770.8653516,739.0039465,888.9013897,1052.413199,1136.755211,1249.397689,1572.797934,1840.329927,2144.389544,2239.095265,3094.44309,3613.800902,3668.21207,3602.885517,3476.624853,3322.581688,3558.818852,3839.785069,3902.661668,4151.227543,3894.272202
India,118.1597985,122.6124534,143.456125,163.2316156,157.929385,161.1372361,186.4201346,206.0737493,224.5754377,267.3905787,271.4250853,275.2654283,292.6448175,278.0961873,297.9996627,312.0598439,342.0719237,355.7375989,347.4623845,368.7497594,303.850438,317.5591355,301.5011949,346.2273931,373.6282803,399.5775035,414.8988696,412.509511,440.9614546,442.0347789,449.9111249,468.8444283,543.8437989,624.1050944,710.5093449,802.013742,1022.731629,993.5037725,1096.63498,1350.634322,1449.601789,1434.018198,1438.05748,1559.864518,1590.173918,1714.280355,1957.968841,1974.377788,2047.232704,1910.421473
Italy,2305.609751,2671.137314,3205.25204,3621.145822,4106.993868,4033.099354,4603.599701,5610.498099,6990.285807,8456.918974,7622.833328,7556.523437,7832.575387,7739.715284,7990.686566,11315.01518,14234.72864,15744.66126,16386.66221,20825.78422,21956.52977,23243.47453,18738.7639,19337.6309,20664.55227,23081.60468,21829.34582,22318.1373,22005.05454,20137.59122,20500.9544,22376.2979,27526.32246,31317.20079,32055.09208,33529.7266,37870.74751,40944.91242,37226.75719,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,31911.03579
Japan,2272.077802,2967.041996,3974.745605,4353.824355,4674.445481,5197.622337,6335.286871,8820.691945,9103.564756,9463.353855,10360.17827,9575.607713,10421.21244,10978.91981,11576.69211,17113.26232,20748.99092,25059.00743,24822.77557,25371.46417,28915.0082,31414.98464,35681.96394,39933.51506,44197.6191,39150.03963,35638.23196,32423.75561,36610.16832,39169.35957,34406.18246,32820.79364,35387.03742,38298.98017,37812.89502,35991.546,35779.02454,39876.30397,41308.99684,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39727.1166,40458.00188,39918.16756
Sri Lanka,185.8597435,196.4228877,216.9950075,264.7463142,275.6277195,256.2868068,287.5616366,188.0584813,227.5097653,267.6685772,289.1308598,307.6382435,328.6506383,378.936857,369.581896,390.3507114,401.4770959,413.4550704,408.4508669,463.6187388,513.2584475,547.0545344,576.7798839,647.5791564,714.2332315,756.6569905,817.0644817,850.8116039,838.8834628,869.696285,832.8035723,867.4914868,982.195697,1065.784437,1248.698185,1435.816813,1630.388906,2037.322103,2090.401826,2893.934899,3321.484532,3449.066903,3740.616792,3971.918675,4060.131785,4150.934408,4401.056075,4360.583634,4082.69462,3893.841515
Myanmar,20.03866443,22.22352853,22.87092841,33.63001149,37.18938158,37.34791764,31.70221744,28.48834985,28.01570237,30.19791486,31.21854617,37.49581383,40.28904923,37.46419564,35.54232758,42.32094032,37.87297172,35.8273662,42.41195118,50.7829482,52.5358126,53.7388483,67.23767783,90.26444814,113.7881689,132.6388273,128.1057198,103.6268381,125.3022579,150.4078289,135.1797056,131.4673541,165.2586951,198.3769239,221.8659075,246.6924955,321.8283481,472.2605905,600.9316172,765.2418886,1086.838467,1161.305962,1195.9378,1238.72871,1224.562343,1161.861778,1175.202557,1274.915657,1295.201448,1477.45287
